catid,foodweight,time,eatingfrequency,consavg,deltaw,date,index
1,105.22,00:00,1,-,5.39,1.9.21,1
1,101.95,01:30,2,-,5.34,1.9.21,2
1,103.68,03:00,3,-,5.67,1.9.21,3
1,102.91,06:00,4,-,4.56,1.9.21,4
1,103.99,05:30,5,,5.03,1.9.21,5
1,102.45,09:00,6,-,5.79,1.9.21,6
1,101.11,12:00,7,-,5.27,1.9.21,7
1,103.82,21:00,8,5.31375,5.46,1.9.21,8
1,101.07,00:00,1,-,5.79,2.9.21,9
1,102.07,03:00,2,-,5.19,2.9.21,10
1,102.01,06:00,3,-,4.45,2.9.21,11
1,101.58,09:00,4,-,4.13,2.9.21,12
1,101.72,12:00,5,-,4.2,2.9.21,13
1,104.67,15:00,6,-,4.18,2.9.21,14
1,101.01,18:00,7,-,4.66,2.9.21,15
1,105.07,21:00,8,4.6225,4.38,2.9.21,16
1,102.41,00:00,1,-,5.51,3.9.21,17
1,101.01,03:00,2,-,4.08,3.9.21,18
1,103.9,06:00,3,-,5.33,3.9.21,19
1,102.69,09:00,4,-,4.06,3.9.21,20
1,105.21,12:00,5,-,4.4,3.9.21,21
1,103.82,15:00,6,-,5.47,3.9.21,22
1,100.08,18:00,7,-,4.2,3.9.21,23
1,102.51,21:00,8,4.6625,4.25,3.9.21,24
1,101.45,00:00,1,-,5.41,4.9.21,25
1,104.21,03:00,2,-,5.16,4.9.21,26
1,100.46,06:00,3,-,5.23,4.9.21,27
1,105.58,09:00,4,-,5.64,4.9.21,28
1,105.93,12:00,5,-,4.27,4.9.21,29
1,102.45,15:00,6,-,5.71,4.9.21,30
1,100.06,18:00,7,-,4.45,4.9.21,31
1,102.69,21:00,8,5.01875,4.28,4.9.21,32
1,101.48,00:00,1,-,5.85,5.9.21,33
1,105.13,03:00,2,-,4.1,5.9.21,34
1,102.79,06:00,3,-,4.57,5.9.21,35
1,103.12,09:00,4,-,5.32,5.9.21,36
1,100.86,12:00,5,-,5.51,5.9.21,37
1,103.15,15:00,6,-,4.98,5.9.21,38
1,103.66,18:00,7,-,4.85,5.9.21,39
1,100.82,21:00,8,5.05875,5.29,5.9.21,40
1,105.03,00:00,1,-,5.52,6.9.21,41
1,102.61,03:00,2,-,5.82,6.9.21,42
1,103.34,06:00,3,-,5.9,6.9.21,43
1,101.98,09:00,4,-,5.49,6.9.21,44
1,105.42,12:00,5,-,5.87,6.9.21,45
1,103.23,15:00,6,-,5.71,6.9.21,46
1,105.06,18:00,7,-,5.4,6.9.21,47
1,103.72,21:00,8,5.58375,4.96,6.9.21,48
1,105,00:00,1,-,4.54,7.9.21,49
1,103,03:00,2,-,5.3,7.9.21,50
1,100.9,06:00,3,-,4.26,7.9.21,51
1,101.97,09:00,4,-,4.81,7.9.21,52
1,103.4,12:00,5,-,4.15,7.9.21,53
1,103.05,15:00,6,-,5.15,7.9.21,54
1,100.96,18:00,7,-,4.07,7.9.21,55
1,105.04,21:00,8,4.705,5.36,7.9.21,56
1,103.27,00:00,1,-,4.82,8.9.21,57
1,102.36,03:00,2,-,5.27,8.9.21,58
1,103.33,06:00,3,-,4.65,8.9.21,59
1,102.27,09:00,4,-,4.5,8.9.21,60
1,103.35,12:00,5,-,5.15,8.9.21,61
1,100.48,15:00,6,-,4.1,8.9.21,62
1,102.76,18:00,7,-,4.34,8.9.21,63
1,105.4,21:00,8,4.70125,4.78,8.9.21,64
1,105,00:00,1,-,4.83,9.9.21,65
1,105.96,03:00,2,-,4.1,9.9.21,66
1,101.35,06:00,3,-,4.56,9.9.21,67
1,102.11,09:00,4,-,5.66,9.9.21,68
1,100.17,12:00,5,-,5.27,9.9.21,69
1,105.05,15:00,6,-,4.48,9.9.21,70
1,102.3,18:00,7,-,4.32,9.9.21,71
1,103.67,21:00,8,4.88125,5.83,9.9.21,72
1,104.14,00:00,1,-,4.68,10.9.21,73
1,105.5,03:00,2,-,5.85,10.9.21,74
1,104.5,06:00,3,-,4.05,10.9.21,75
1,100.54,09:00,4,-,4.97,10.9.21,76
1,102.28,12:00,5,-,5.61,10.9.21,77
1,105.18,15:00,6,-,4.88,10.9.21,78
1,100.62,18:00,7,-,4.94,10.9.21,79
1,100.98,21:00,8,4.97125,4.79,10.9.21,80
1,101.23,00:00,1,-,5.67,11.9.21,81
1,104.07,03:00,2,-,4.7,11.9.21,82
1,103.64,06:00,3,-,4.09,11.9.21,83
1,101.88,09:00,4,-,0.89,11.9.21,84
1,104.19,12:00,5,-,0.23,11.9.21,85
1,103.33,15:00,6,-,1.67,11.9.21,86
1,101.14,18:00,7,-,1.4,11.9.21,87
1,100.56,21:00,8,2.4875,1.25,11.9.21,88
1,100.1,00:00,1,-,11.29,12.9.21,89
1,100.46,03:00,2,-,10.74,12.9.21,90
1,101.95,06:00,3,-,10.78,12.9.21,91
1,104.77,09:00,4,-,10.65,12.9.21,92
1,101.85,12:00,5,-,11.59,12.9.21,93
1,101.12,15:00,6,-,11.74,12.9.21,94
1,101.89,18:00,7,-,10.59,12.9.21,95
1,100.26,21:00,8,11.14375,11.77,12.9.21,96
